"#OTU ID"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"27d4634a875202dbcb43e2b47823148b"	100	100	100	100	100	100	100
"97481a841a067a89ad2de629511aa2b5"	100	100	100	100	100	100	56
"1de00df48450ae8aeb252e7174a2f121"	100	100	100	100	100	100	100
"ac32dd7a905e1d636537cdd8e6c905a9"	100	100	100	100	100	100	100
"ea1003ab64ecc820411593f64b14f2a2"	100	100	100	100	100	100	100
"26d72dfd5e476b4ec4fe2d2b856f962b"	100	100	100	100	100	100	100
"391163ac763f67a1aaca5f2da21c9b6a"	100	100	100	100	100	100	100
"a0ad2e44b4dda8fafe6d09391cb4f397"	100	100	100	100	100	100	100
"87366316193727c5de98a941e3cdf067"	100	100	100	100	100	100	100
"a7301878c4ba99604194085e354e448b"	100	100	100	100	100	100	100
"fc777e945bf98e1b1eb2efaf2bfd326c"	100	100	100	100	100	100	100
"e7b546953a92342f1a1a18d39635b52b"	100	100	100	100	100	100	100
"4169d783ace6c74746d09e49baa50a8c"	100	100	100	100	100	100	100
"26608ce8c90bc35e4fc335660edf3b6f"	100	100	100	100	100	100	100
"5c5af70cbef20abef80453cf072a3b69"	100	100	100	100	100	100	100
"6cf64e89bf7874ddaa32f7967da953d4"	100	100	100	100	100	100	100
"d3ba6174d9a72003c361b5c3c72833f4"	100	100	100	100	100	100	99
"5c10851ef5ac83f5a234cc5454bf0dcd"	100	100	100	100	100	100	100
"554d5a350a4b181b81eb769f61bae742"	100	100	100	100	100	100	100
"d47a8771ebbbe4eea98c6ca36fd54dd5"	100	100	100	100	100	100	100
"58294fea30950101d6b13e0fe9434a43"	100	100	100	100	100	100	100
"fcf3fea5654e5be8db30e4c707e77769"	100	100	100	100	100	100	100
"f0b79b3332a07b2351b29b4caeaa1339"	100	100	100	100	100	100	100
"5e98da80a77d8c3f0a9e34f83577e157"	100	100	100	100	100	85	83
"6f59ed0ba4b5001a996a8aa8bc4e0bc2"	100	100	100	100	100	100	100
"fd376842b6c028c00eb411a3eeb7ce12"	100	100	100	100	100	100	100
"4dfd101fa578e4db85cd386815557ef1"	100	100	100	100	100	100	100
"2c4e1aefe4663f56f7263523ee2395d4"	100	100	100	100	100	100	100
"27e8d322ae6b93dcaa6c78a6b38b65f6"	100	100	100	100	100	100	100
"487d080077d9184bb99335907b987196"	100	100	100	100	100	100	75
"63ae54ce9a217b568350c8e754afc5d6"	100	100	100	100	100	100	100
"2979d3368f41db4b1ab8a0bbcd2c81cc"	100	100	100	100	100	100	100
"11a7877ed6db47f7cecaf81819332a35"	100	100	100	100	100	100	100
"f7e2730ba406f7ea3ccd0dadcbdd307b"	100	100	100	100	100	69	69
"275725b42249b22a0454da8dcf3dddc4"	100	100	100	100	100	100	100
"876bddb7d49264f870130293ce5cba1b"	100	100	100	100	100	100	100
"345cfb29ed8558774a42dbe9d3c8eedb"	100	100	100	100	100	100	100
"dd58e68bc8ca977ef799956efc1ab89a"	100	100	100	100	100	100	96
"9a6def5fe6ed8a40db3e93a3f8f8b44f"	100	100	100	100	100	61	61
"bacc680801e2a4f35d5266d2c8a666e0"	100	100	100	100	100	100	47
"f75a1feac35f40a50a8d0e9f7b5b9aa1"	100	100	100	100	100	100	100
"e042329a549f2d2eee573b22f4b12699"	100	100	100	100	100	100	100
"0cf0cbbfa212c8a978907cbbcaa9ebdc"	100	100	100	100	100	100	100
"8d3cf7b7252137026ac1ee0df4d30f8b"	100	100	100	100	100	100	100
"0e8e03a52deb8c8a8028ec7997060990"	100	100	100	100	100	100	100
"42f68a80b424e0eb2b97ce82abf400ef"	100	100	100	100	100	87	87
"e63a0f8ff697d2023d59270014463687"	100	100	100	100	100	100	67
"fcc642ebfe60848933af2edaae568d5d"	100	100	100	100	100	100	100
"7059ad236b4cecfebb30b39eb7a70186"	100	100	100	100	100	100	99
"b65f5ee1cbf09a12463b2701ae6822ca"	100	100	100	100	100	100	72
"8f94548e29a29a98631ef2a657d7667d"	100	100	100	100	100	74	74
"5bf0901b4f2ba352b88e7958a30a1c20"	100	100	100	100	100	100	73
"321b29035f5473a4e9242e2529e55214"	100	100	100	100	100	100	100
"96cf13107c7acfa0fb6f23abc4862a58"	100	100	100	100	100	100	99
"51069ad22c93628e196a9c328db9f021"	100	100	100	100	100	100	100
"574059cafe0c91162af9003d7f7de0d0"	100	100	100	100	100	100	100
"1ec3d3d18a1ad20d0e22a33268f6c239"	100	100	100	100	100	100	100
"02471ae5fd9a115f3b9d5c9f5afec8f0"	100	100	100	100	100	100	100
"28199aafe02229566110e28804dad3b9"	100	100	100	100	100	100	100
"e837040cdda0c682f4249d419c65d62b"	100	100	100	100	100	100	100
"dd032311df6069126a5a7c946669a966"	100	100	100	100	100	100	100
"871f00287a761f33b534e2e9b9e94606"	100	100	100	100	100	100	83
"5edae0ac66fc53f02714addd07dfb7c2"	100	100	100	100	100	100	100
"a5e6e6524de0636cf9c21d204f521718"	100	100	100	100	100	100	95
"a57f79078289077c9ec24c8c49b23029"	100	100	100	100	100	100	100
"1a64897e413b31703f83cf85ddbe5566"	100	100	100	100	100	100	100
"0632ad9ddae64c8790b57564292ffc1f"	100	100	100	100	100	100	100
"4c6713995daaef464ad2e1b2b1b0c6a4"	100	100	100	100	100	88	88
"d6c765bba34716e45cbbdc2bb3c999d4"	100	100	100	100	100	100	100
"2277389f40d556768074612f19082aee"	100	100	100	100	100	100	37
"978b88746c2935dbba05761f36eecca8"	100	100	100	100	100	100	100
"de75c197e24ccb6d2fd403b1f93e4c10"	100	100	100	100	100	100	100
"1d5bb2653299f7725e30c9ec2620a442"	100	100	100	100	100	100	83
"76e13e8743ca6a8e2b89b0c7d93e92c5"	100	100	100	100	100	100	100
"181e3366115642feb75d445a3e93166f"	100	100	100	100	100	100	100
"8e8d2fbd21d11410ff1914dd66760489"	100	100	100	100	71	70	70
"4d048079f4d46ce9c5210da5a9d197f2"	100	100	100	100	100	100	98
"b390fa250172fd909ee1587604feecf0"	100	100	100	100	100	100	100
"d4443f3df68b66ba578971f85e02f2cb"	100	100	100	100	100	100	100
"41a563450c08ca2ec4445eaa96d372a2"	100	100	100	100	100	100	99
"0996096406847d15748fae647b497451"	100	100	100	100	100	100	100
"5d0015575d140c141ebb6c86d11cb509"	100	100	100	100	100	100	100
"998bbc4593198c68b133e36850005cb2"	100	100	100	100	100	100	100
"0fd1d33417af3687a6a57b346986edec"	100	100	100	100	100	100	100
"a3d407748e5ef1e178abaf5a7ec6f022"	100	100	100	100	100	74	74
"ec246f5901121f77334b724bca9c7353"	100	100	100	100	100	100	100
"e3eee02d87b9775467a928fe8b04c848"	100	100	100	100	100	100	62
"0ff5f9965beb8ea8e46a4bd044d7d3fc"	100	100	100	100	100	100	91
"7d469aa612e78f030c973d3b0a1133e2"	100	100	100	100	100	100	100
"6b420b7b991b37384619389a3d73358a"	100	100	100	100	100	100	100
"35aedd31f702d8b342c23ee950c6ec7d"	100	100	100	100	100	100	100
"8229b1e02e261cb5790977788c656ba7"	100	100	100	100	100	100	97
"55a769939190e51a013be2a805fd5177"	100	100	100	100	100	100	100
"5d40eb00dc3031f28896a58f050b3438"	100	100	100	100	100	100	62
"001407b67f1394003f5e3c2c809f8ad3"	100	100	100	100	100	100	100
"649fae20a9d79fd0655e6c9d601cb607"	100	100	100	100	100	100	100
"dfbc80976a4eb136f951c0234de3532c"	100	100	100	100	100	97	97
"478f866acf85bce636035ee44b8749a8"	100	100	100	100	100	100	100
"4304727202e19f8684d5301931e11a9a"	100	100	100	100	100	100	100
"986d4f79f0ee35b4ae3822c9d7762a6f"	100	100	100	100	100	100	100
"4d379bd5e849a76d36f8ebf6612d9752"	100	100	100	100	100	100	100
"a0c20daa87cb6643de1592385bc1b473"	100	100	100	100	100	100	100
"9ded05182c906791d8c7a2e890656ae2"	100	100	100	100	100	100	100
"3f77f7fdadd9ded3797f4245c4beb1b6"	100	100	100	100	100	100	100
"bcc81064e69e40e55abe2abae56ca0f5"	100	100	100	100	100	100	100
"fbff4468abf3b4768015dc850456fcfe"	100	100	100	100	100	100	100
"e35178bc25cfe4c603ddbc9b5a5d2223"	100	100	100	100	100	100	100
"47341725c9d8d721e4b9fa69545364f7"	100	100	100	100	100	100	99
"1b0c3cd60ce6999a646a624eade9a860"	100	100	100	100	100	100	100
"e5c02db2314b380f306c30d0e78da405"	100	100	100	100	100	100	100
"3246b7bf952b2a74f3a1ecf82aeb1fea"	100	100	100	100	100	100	100
"f5eba928e0bf262d7590d663f4209041"	100	100	100	100	100	100	100
"88e737db63bb65a0d19e506cd51efb09"	100	100	100	100	100	100	100
"0fc8ef4326bcf7b5034e8712a816519a"	100	100	100	100	100	100	69
"d0851fad5792da50c027fdb791f6b00b"	100	100	100	100	100	100	100
"ab786c8f50db9eee3d9eab5d35330a4e"	100	100	100	100	100	100	100
"dfecb86f1690e4645faa07e2d2eefd66"	100	100	100	100	100	100	99
"1b2fd16d9ef6a5b877083ba59f40e956"	100	100	100	100	100	100	100
"3de9baaaaa062dfc62bf88bd8b945843"	100	100	100	100	100	100	100
"f0bfa539de746888b0154658eeed7282"	100	100	100	100	100	100	100
